Beutel,Total Volume,Total Surface Area,Total Curvature,Volume Inferior Free Wall,Volume Lateral Free Wall,Volume Anterior Free Wall,Volume Septal Body,Surface Area Inferior Free Wall,Surface Area Lateral Free Wall,Surface Area Anterior Free Wall,Surface Area Septal Body,Curvature Inferior Free Wall,Curvature Lateral Free Wall,Curvature Anterior Free Wall,Curvature Septal Body,Minimum Curvature,Maximum Curvature
 0, 119.006, 14800.9, 0.968293, 22.0498, 31.5753, 27.641, 37.571, 2742.38, 3927.07, 3437.76, 4672.78, 1.44585, 0.758158, 1.25524, 0.701821, -1.9932, 5.85327
1, 112.277, 14347.5, 0.970889, 20.5504, 29.5953, 26.335, 35.6359, 2626.06, 3781.87, 3365.25, 4553.77, 1.43742, 0.759156, 1.25514, 0.713779, -1.96269, 5.96405
2, 107.802, 14000.4, 0.961442, 19.9062, 27.6933, 25.5538, 34.489, 2585.26, 3596.58, 3318.73, 4479.16, 1.42848, 0.736763, 1.24196, 0.717389, -2.01684, 5.94098
3, 100.789, 13411.7, 0.957016, 18.5303, 25.3515, 24.342, 32.4112, 2465.79, 3373.46, 3239.14, 4312.88, 1.41354, 0.736483, 1.22989, 0.720026, -2.04062, 5.95781
4, 94.3194, 12853.7, 0.952263, 17.2201, 23.2278, 23.2182, 30.5048, 2346.74, 3165.45, 3164.14, 4157.15, 1.39576, 0.737733, 1.21238, 0.725241, -2.05346, 5.94565
5, 87.0106, 12230.4, 0.949909, 15.7267, 20.9355, 21.8885, 28.3179, 2210.58, 2942.73, 3076.69, 3980.42, 1.37797, 0.744398, 1.19453, 0.733282, -2.0693, 5.96008
6, 78.9957, 11555.1, 0.949345, 14.0205, 18.615, 20.3451, 25.8813, 2050.85, 2722.9, 2975.98, 3785.78, 1.3606, 0.760566, 1.17507, 0.739295, -2.08858, 6.01299
7, 72.9227, 11044.1, 0.950277, 12.7604, 16.8457, 19.1104, 24.0787, 1932.55, 2551.26, 2894.26, 3646.7, 1.35181, 0.769232, 1.15787, 0.749981, -2.11569, 6.0555
8, 66.488, 10550.7, 0.957604, 11.4475, 15.0933, 17.7148, 22.1127, 1816.56, 2395.1, 2811.08, 3508.97, 1.35727, 0.780158, 1.14825, 0.765366, -2.17789, 6.22891
9, 63.2266, 10268.5, 0.953702, 10.7756, 14.1636, 17.0335, 21.1374, 1750.04, 2300.29, 2766.37, 3432.88, 1.35569, 0.786466, 1.13075, 0.759421, -2.25915, 6.2656
10, 62.4231, 10202.8, 0.949143, 10.6013, 13.9068, 16.8395, 20.9587, 1732.72, 2273, 2752.33, 3425.59, 1.35574, 0.776567, 1.11969, 0.760641, -2.31292, 6.24603
11, 66.5894, 10587.6, 0.950817, 11.3345, 15.1187, 17.7042, 22.3107, 1802.16, 2403.84, 2814.94, 3547.35, 1.35947, 0.767824, 1.12991, 0.765006, -2.21233, 6.166
12, 74.8132, 11369.4, 0.956598, 12.8729, 17.6344, 19.2925, 24.8843, 1956.3, 2679.91, 2931.9, 3781.69, 1.37162, 0.751661, 1.1597, 0.771701, -2.07048, 6.09366
13, 86.3922, 12359, 0.953853, 15.2163, 21.1899, 21.4881, 28.3574, 2176.81, 3031.37, 3074.02, 4056.73, 1.38764, 0.738032, 1.19329, 0.745856, -1.9909, 6.00844
14, 91.8888, 12812.3, 0.954861, 16.351, 22.8019, 22.5557, 30.0346, 2279.87, 3179.33, 3144.99, 4187.8, 1.39672, 0.732773, 1.20692, 0.740078, -1.99262, 5.98905
15, 95.7265, 13064, 0.956062, 17.0012, 23.9607, 23.4148, 31.2008, 2320.2, 3269.98, 3195.47, 4258.05, 1.39163, 0.743806, 1.2081, 0.736482, -1.96821, 5.92397
16, 110.451, 14204.8, 0.960063, 20.1393, 28.3698, 26.1694, 35.6097, 2590.07, 3648.58, 3365.59, 4579.68, 1.41555, 0.739581, 1.23208, 0.724145, -1.9786, 5.83622
17, 123.476, 15197.5, 0.967483, 23.1641, 32.4816, 28.4475, 39.2098, 2851.05, 3997.85, 3501.34, 4825.97, 1.45985, 0.729543, 1.25542, 0.715751, -2.03058, 5.81963
18, 122.903, 15139.8, 0.966232, 23.0828, 32.3279, 28.33, 38.9894, 2843.45, 3982.3, 3489.82, 4802.89, 1.45806, 0.730572, 1.25304, 0.713524, -2.03077, 5.81025
