Beutel,Total Volume,Total Surface Area,Total Curvature,Volume Inferior Free Wall,Volume Lateral Free Wall,Volume Anterior Free Wall,Volume Septal Body,Surface Area Inferior Free Wall,Surface Area Lateral Free Wall,Surface Area Anterior Free Wall,Surface Area Septal Body,Curvature Inferior Free Wall,Curvature Lateral Free Wall,Curvature Anterior Free Wall,Curvature Septal Body,Minimum Curvature,Maximum Curvature
 0, 148.949, 17505, 1.02061, 32.5818, 39.5015, 32.1977, 44.4797, 3829.13, 4642.36, 3783.99, 5227.42, 1.34752, 0.590895, 1.50116, 0.915189, -2.65826, 7.42498
1, 145.387, 17276, 1.02145, 31.8739, 38.2629, 31.5047, 43.5596, 3787.5, 4546.69, 3743.63, 5176.09, 1.35191, 0.587599, 1.49231, 0.923296, -2.63833, 7.43623
2, 146.844, 17301.3, 1.02321, 32.3058, 39.3383, 31.6753, 43.3398, 3806.31, 4634.89, 3732.02, 5106.36, 1.35156, 0.610119, 1.49844, 0.905814, -2.63466, 7.40416
3, 138.837, 16715, 1.01101, 30.565, 36.5868, 30.3882, 41.1149, 3679.81, 4404.79, 3658.51, 4949.93, 1.34719, 0.609856, 1.47229, 0.887099, -2.63584, 7.24929
4, 129.421, 16019.4, 0.99574, 28.5391, 33.3231, 28.8185, 38.5613, 3532.47, 4124.62, 3567.06, 4772.98, 1.34061, 0.608222, 1.43678, 0.867102, -2.63494, 7.09733
5, 120.339, 15390.2, 0.987849, 26.3302, 30.3309, 27.2454, 36.2581, 3367.38, 3879.03, 3484.41, 4637.05, 1.33766, 0.608964, 1.40812, 0.861263, -2.59081, 7.00296
6, 111.399, 14788.7, 0.978316, 24.1248, 27.3728, 25.6231, 34.1082, 3202.67, 3633.85, 3401.58, 4528.01, 1.33474, 0.605694, 1.38039, 0.853334, -2.55015, 6.929
7, 104.721, 14353, 0.972136, 22.5344, 25.1333, 24.345, 32.541, 3088.56, 3444.77, 3336.72, 4460.07, 1.33212, 0.598382, 1.35708, 0.856237, -2.54464, 6.88366
8, 100.851, 14099.3, 0.965467, 21.6412, 23.8213, 23.5798, 31.6432, 3025.5, 3330.28, 3296.52, 4423.8, 1.32827, 0.591024, 1.34034, 0.854512, -2.54579, 6.8503
9, 98.5572, 13973.8, 0.96879, 21.1043, 23.2115, 23.0465, 31.0304, 2992.24, 3291.02, 3267.62, 4399.6, 1.33086, 0.589881, 1.33547, 0.866962, -2.53152, 6.85765
10, 100.426, 14108.8, 0.966886, 21.6537, 23.8585, 23.2906, 31.4568, 3042.09, 3351.85, 3272.06, 4419.31, 1.33015, 0.58808, 1.34244, 0.85901, -2.54888, 6.86928
11, 100.643, 14107.9, 0.960952, 21.8665, 23.7782, 23.3723, 31.4576, 3065.21, 3333.18, 3276.29, 4409.67, 1.32817, 0.586973, 1.33912, 0.845084, -2.58418, 6.85443
12, 100.464, 14076.4, 0.962935, 21.7665, 23.5951, 23.5406, 31.395, 3049.79, 3306, 3298.36, 4398.88, 1.32882, 0.593886, 1.33452, 0.847508, -2.59021, 6.83466
13, 103.214, 14405.6, 0.986355, 22.1319, 24.7768, 24.0423, 32.0994, 3088.97, 3458.11, 3355.59, 4480.14, 1.34798, 0.604854, 1.35861, 0.883701, -2.53903, 6.96653
14, 107.365, 14677.3, 0.988564, 22.9836, 25.9702, 24.8712, 33.374, 3141.97, 3550.26, 3400.01, 4562.38, 1.3455, 0.59939, 1.37527, 0.886642, -2.5334, 7.00828
15, 113.238, 15070, 0.987717, 24.3257, 27.7551, 25.9252, 35.061, 3237.34, 3693.75, 3450.21, 4666.04, 1.34089, 0.591578, 1.39198, 0.883536, -2.54117, 7.05196
16, 115.941, 15346.2, 0.994657, 24.9898, 28.7949, 26.3029, 35.6826, 3307.71, 3811.36, 3481.53, 4723.04, 1.35374, 0.593852, 1.4101, 0.884414, -2.54859, 7.16056
17, 116.725, 15422, 1.00125, 25.1354, 29.1901, 26.3999, 35.8292, 3320.96, 3856.68, 3488.04, 4733.86, 1.35587, 0.598108, 1.41595, 0.896051, -2.53143, 7.17968
18, 117.769, 15489.1, 0.997043, 25.4029, 29.4563, 26.5891, 36.1493, 3341.03, 3874.13, 3497.04, 4754.4, 1.35399, 0.595508, 1.41763, 0.885616, -2.54598, 7.18003
19, 118.569, 15543.4, 0.996997, 25.6039, 29.6642, 26.7336, 36.3954, 3356.43, 3888.71, 3504.54, 4771.11, 1.353, 0.593657, 1.41935, 0.886617, -2.5532, 7.18358
20, 120.098, 15622.7, 0.997616, 26.0089, 30.1663, 27.0186, 36.7307, 3383.31, 3924.11, 3514.65, 4778.04, 1.3519, 0.594958, 1.42311, 0.88578, -2.56161, 7.18272
21, 121.911, 15720.9, 0.998381, 26.5159, 30.785, 27.343, 37.093, 3419.33, 3969.85, 3525.98, 4783.28, 1.35149, 0.5968, 1.42743, 0.884183, -2.57752, 7.18408
22, 123.595, 15817.9, 0.999946, 26.9564, 31.4041, 27.6323, 37.4268, 3449.93, 4019.14, 3536.43, 4789.94, 1.35175, 0.599705, 1.43293, 0.883018, -2.58406, 7.18968
23, 125.135, 15921.1, 1.00292, 27.3548, 31.9731, 27.8665, 37.7645, 3480.4, 4067.98, 3545.5, 4804.84, 1.35221, 0.601032, 1.43827, 0.887454, -2.58989, 7.20242
24, 126.213, 15985.2, 0.999141, 27.643, 32.3774, 28.0329, 37.9828, 3501.06, 4100.67, 3550.44, 4810.62, 1.35182, 0.602751, 1.44161, 0.872761, -2.59315, 7.2035
25, 127.593, 16081.9, 1.00056, 27.977, 32.8557, 28.2625, 38.3201, 3526.25, 4141.16, 3562.23, 4829.9, 1.35229, 0.603316, 1.44649, 0.873394, -2.59874, 7.21875
26, 134.124, 16529, 1.00846, 29.5061, 35.1107, 29.3645, 39.9623, 3636.25, 4326.96, 3618.81, 4924.86, 1.35423, 0.607135, 1.46762, 0.880424, -2.61304, 7.28114
27, 145.323, 17266.6, 1.01239, 32.2271, 38.6516, 31.1648, 43.0927, 3829.06, 4592.38, 3702.84, 5120.05, 1.35197, 0.598077, 1.49259, 0.886587, -2.66479, 7.37824
28, 150.141, 17562.1, 1.02166, 33.2362, 40.2032, 32.0866, 44.4256, 3887.67, 4702.6, 3753.21, 5196.51, 1.34474, 0.601024, 1.50398, 0.9096, -2.66565, 7.43932
29, 149.954, 17521.8, 1.02106, 33.2628, 40.1461, 32.1029, 44.2533, 3886.7, 4691, 3751.17, 5170.92, 1.34679, 0.601036, 1.50363, 0.906777, -2.6818, 7.43602
