Beutel,Total Volume,Total Surface Area,Total Curvature,Volume Inferior Free Wall,Volume Lateral Free Wall,Volume Anterior Free Wall, Volume Septal Body, Surface Area Inferior Free Wall, Surface Area Lateral Free Wall, Surface Area Anterior Free Wall, Surface Area Septal Body, Curvature Inferior Free Wall, Curvature Lateral Free Wall, Curvature Anterior Free Wall, Curvature Septal Body, Minimum Curvature, Maximum Curvature
0, 309.175, 26438.1, 1.04601, 60.9532, 94.6335, 65.717, 87.4614, 5212.22, 8092.29, 5619.58, 7478.99, 1.32634, 0.88879, 1.3743, 0.823745, -1.30253, 5.80537
1, 318.155, 26997.4, 1.04902, 63.1148, 99.13, 66.5385, 88.9541, 5355.67, 8411.78, 5646.19, 7548.29, 1.33411, 0.889337, 1.38978, 0.818687, -1.29784, 5.83817
2, 292.76, 25789.1, 1.05568, 57.0163, 89.7592, 62.181, 83.4089, 5022.54, 7906.85, 5477.5, 7347.45, 1.3385, 0.896744, 1.39511, 0.826833, -1.27948, 5.94594
3, 278.831, 25073.2, 1.05951, 54.312, 85.1421, 59.5513, 79.4444, 4883.88, 7656.2, 5355.01, 7143.85, 1.35191, 0.901943, 1.40362, 0.821158, -1.28019, 6.02922
4, 246.859, 23297.5, 1.05611, 47.5193, 72.7048, 54.083, 72.1932, 4484.67, 6861.56, 5104.11, 6813.28, 1.35511, 0.897369, 1.38565, 0.82359, -1.28891, 6.01593
5, 223.057, 22035.4, 1.0593, 42.0725, 64.132, 49.7033, 66.8114, 4156.27, 6335.49, 4910.09, 6600.18, 1.35888, 0.898368, 1.37869, 0.834367, -1.27332, 6.10685
6, 200.995, 20830.2, 1.06245, 37.0288, 56.2513, 45.5702, 61.8263, 3837.5, 5829.65, 4722.7, 6407.41, 1.36287, 0.897596, 1.36776, 0.848762, -1.27196, 6.19861
7, 185.103, 19963.6, 1.06193, 33.4572, 50.5709, 42.408, 58.3632, 3608.39, 5454.12, 4573.74, 6294.53, 1.36849, 0.88346, 1.36128, 0.859913, -1.28198, 6.26995
8, 178.039, 19635.4, 1.06154, 31.8644, 47.6173, 41.2422, 57.0167, 3514.23, 5251.58, 4548.49, 6288.21, 1.37188, 0.875324, 1.34212, 0.875175, -1.28407, 6.27822
9, 189.822, 20255.3, 1.06179, 34.5369, 50.2937, 44.2468, 60.4383, 3685.34, 5366.71, 4721.46, 6449.21, 1.36504, 0.878264, 1.33856, 0.879465, -1.28381, 6.2282
10, 223.269, 21984.2, 1.04729, 42.1452, 60.8802, 50.9718, 68.9301, 4149.82, 5994.56, 5018.93, 6787.19, 1.34004, 0.867895, 1.33766, 0.859417, -1.31297, 5.92594
11, 255.143, 23701.9, 1.04692, 48.9426, 73.987, 56.2088, 75.6339, 4546.58, 6873.12, 5221.59, 7026.11, 1.33297, 0.883026, 1.35771, 0.837487, -1.29395, 5.8514
12, 274.386, 24745.8, 1.04801, 53.554, 81.7318, 59.341, 79.3736, 4829.83, 7371.09, 5351.74, 7158.41, 1.34329, 0.882317, 1.37348, 0.826055, -1.30301, 5.86902
13, 277.031, 24860.1, 1.04732, 54.2648, 82.6735, 59.8827, 79.8223, 4869.61, 7418.95, 5373.75, 7163.08, 1.34454, 0.882371, 1.37403, 0.822845, -1.30921, 5.85728
14, 276.23, 24757.7, 1.04606, 54.0456, 82.039, 59.9787, 79.7796, 4843.95, 7352.92, 5375.72, 7150.41, 1.34016, 0.883267, 1.37041, 0.822942, -1.31359, 5.83401
15, 283.306, 25084.7, 1.04557, 55.3767, 84.607, 61.3986, 81.5314, 4903.22, 7491.36, 5436.42, 7219.04, 1.33215, 0.887348, 1.36951, 0.823122, -1.31041, 5.80917
16, 308.72, 26424.8, 1.046, 60.638, 94.3471, 65.7832, 87.5406, 5190.29, 8075.6, 5630.68, 7493, 1.32466, 0.887762, 1.37445, 0.825478, -1.30152, 5.79364
