Beutel,Total Volume,Total Surface Area,Total Curvature,Volume Inferior Free Wall,Volume Lateral Free Wall,Volume Anterior Free Wall, Volume Septal Body, Surface Area Inferior Free Wall, Surface Area Lateral Free Wall, Surface Area Anterior Free Wall, Surface Area Septal Body, Curvature Inferior Free Wall, Curvature Lateral Free Wall, Curvature Anterior Free Wall, Curvature Septal Body, Minimum Curvature, Maximum Curvature
0, 58.0891, 9368.31, 1.1095, 11.3369, 15.5571, 12.7217, 18.4012, 1828.36, 2508.97, 2051.69, 2967.66, 1.31856, 0.885001, 1.62756, 0.873618, -1.41408, 7.04696
1, 59.6325, 9547.21, 1.10648, 11.8101, 15.8955, 12.9084, 18.9449, 1890.81, 2544.89, 2066.65, 3033.09, 1.33126, 0.858693, 1.62929, 0.878707, -1.4566, 7.09762
2, 50.4912, 8698.76, 1.12177, 9.5313, 13.2679, 11.264, 16.3623, 1642.08, 2285.83, 1940.6, 2818.94, 1.34716, 0.895441, 1.6198, 0.88992, -1.28203, 7.02767
3, 48.698, 8568.61, 1.12701, 9.0971, 12.8436, 10.8199, 15.8735, 1600.67, 2259.88, 1903.8, 2793, 1.36896, 0.889196, 1.62997, 0.892511, -1.23495, 7.05328
4, 44.9058, 8234.19, 1.1336, 8.25424, 11.7447, 10.0709, 14.7754, 1513.55, 2153.58, 1846.66, 2709.31, 1.40253, 0.88991, 1.62911, 0.89294, -1.19051, 7.09153
5, 41.3436, 7819.08, 1.1347, 7.52723, 10.6116, 9.48448, 13.6625, 1423.58, 2006.92, 1793.75, 2583.91, 1.41646, 0.905556, 1.60322, 0.890125, -1.17532, 7.08383
6, 38.7217, 7491.75, 1.13418, 6.97937, 9.71125, 9.0859, 12.8892, 1350.35, 1878.9, 1757.91, 2493.76, 1.41892, 0.921282, 1.57343, 0.891298, -1.16852, 7.06576
7, 36.4971, 7223.68, 1.13985, 6.52058, 8.99402, 8.70382, 12.2245, 1290.58, 1780.14, 1722.7, 2419.53, 1.4291, 0.933191, 1.55318, 0.904412, -1.16361, 7.07422
8, 35.1187, 7042.57, 1.14205, 6.24291, 8.57581, 8.46318, 11.7836, 1251.93, 1719.76, 1697.18, 2363.04, 1.43462, 0.943391, 1.5382, 0.908017, -1.15566, 7.06888
9, 34.3506, 6956.45, 1.14385, 6.0923, 8.34395, 8.30903, 11.5529, 1233.77, 1689.76, 1682.68, 2339.61, 1.44385, 0.946013, 1.5349, 0.907835, -1.15973, 7.08721
10, 32.8929, 6763.13, 1.14283, 5.80802, 8.02765, 7.97735, 11.0285, 1194.19, 1650.57, 1640.23, 2267.59, 1.46807, 0.951077, 1.527, 0.891047, -1.14649, 7.10107
11, 31.119, 6537.44, 1.12505, 5.58583, 7.52585, 7.57511, 10.3822, 1173.46, 1581.02, 1591.37, 2181.08, 1.49799, 0.940883, 1.50794, 0.839851, -1.17824, 7.04271
12, 36.6035, 7176.69, 1.09884, 6.8605, 8.71483, 8.7023, 12.2699, 1345.11, 1708.68, 1706.22, 2405.7, 1.44225, 0.881428, 1.5201, 0.836562, -1.30431, 6.82416
13, 43.2448, 7853.01, 1.09436, 8.31268, 10.5358, 10.0578, 14.2765, 1509.53, 1913.23, 1826.45, 2592.54, 1.37915, 0.8735, 1.54849, 0.849461, -1.37582, 6.77825
14, 48.3511, 8375.88, 1.10697, 9.33016, 12.2453, 11.0321, 15.6781, 1616.27, 2121.25, 1911.1, 2715.92, 1.3443, 0.889316, 1.57385, 0.879245, -1.3482, 6.86482
15, 51.465, 8710.05, 1.11456, 9.89718, 13.4834, 11.5532, 16.4641, 1675.02, 2281.96, 1955.29, 2786.42, 1.33098, 0.903044, 1.59993, 0.882667, -1.32305, 6.96465
16, 53.7692, 8933.36, 1.11654, 10.3602, 14.2783, 11.9537, 17.1084, 1721.28, 2372.23, 1986.03, 2842.43, 1.32325, 0.904199, 1.61132, 0.885411, -1.3308, 6.99724
17, 55.8038, 9120.56, 1.10951, 10.8088, 14.927, 12.3081, 17.6899, 1766.58, 2439.66, 2011.63, 2891.24, 1.31868, 0.901438, 1.61912, 0.864458, -1.36467, 7.01934
18, 58.179, 9382, 1.10422, 11.4608, 15.5915, 12.6575, 18.3972, 1848.18, 2514.29, 2041.16, 2966.75, 1.32569, 0.879234, 1.62877, 0.857719, -1.42389, 7.0733
19, 60.6002, 9654.33, 1.10578, 12.0939, 16.1785, 13.0376, 19.2158, 1926.7, 2577.43, 2077.04, 3061.31, 1.3369, 0.84894, 1.63408, 0.878841, -1.4762, 7.1157
